Model,Test Accuracy,Test Balanced Accuracy,Test AUC,Best CV Balanced Accuracy,Best Params,Training Time (s)
MLP,0.5736842105263158,0.5733599290780141,0.5476507092198581,0.5474757347915242,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (128, 64)}",7.146881341934204
LightGBM,0.5421052631578948,0.5421099290780141,0.5344636524822695,0.5394752791068581,"{'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 100}",13.362529516220093
LDA,0.5263157894736842,0.5270390070921985,0.5217198581560284,0.558280929596719,"{'model__shrinkage': None, 'model__solver': 'svd'}",0.1325371265411377
LogisticRegression,0.5263157894736842,0.5270390070921985,0.5226063829787234,0.5622458418774209,"{'model__C': 0.1, 'model__solver': 'liblinear'}",2.9816997051239014
SVC,0.5263157894736842,0.5264849290780141,0.5233820921985816,0.5725126452494873,"{'model__C': 50, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",4.395569801330566
RandomForest,0.5210526315789473,0.5208333333333333,0.543107269503546,0.5634923672818409,"{'model__max_depth': 5, 'model__n_estimators': 100}",3.8311893939971924
GradientBoosting,0.5210526315789473,0.5203900709219859,0.5558510638297872,0.5514069264069265,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100}",18.35135054588318
Bagging,0.5157894736842106,0.5157358156028369,0.5027149822695035,0.5517186147186147,"{'model__max_samples': 0.5, 'model__n_estimators': 50}",3.7900938987731934
XGBoost,0.5105263157894737,0.5101950354609929,0.5406139184397163,0.5511271360218729,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100}",7.226201057434082
ExtraTrees,0.46842105263157896,0.46897163120567376,0.5049867021276595,0.5440510366826157,"{'model__max_depth': 10, 'model__n_estimators': 500}",2.802236557006836
